id	name	discount_policy	item_ids/product_tmpl_id	item_ids/product_id	item_ids/categ_id	item_ids/min_quantity	item_ids/applied_on	item_ids/base	item_ids/base_pricelist_id	item_ids/price_surcharge	item_ids/price_round	item_ids/price_min_margin	item_ids/price_max_margin	item_ids/date_start	item_ids/date_end	item_ids/compute_price	item_ids/fixed_price	item_ids/percent_price	item_ids/discount1	item_ids/discount2	item_ids/discount3	item_ids/price_discount
5	01 Corrispettivi Banco Top	without_discount	5334	4335		72	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.5				
215	LISTINO CALA GALERA	without_discount	2668	1669		72	0_product_variant	list_price						2023-03-31 22:00:00		percentage		44.61				
3	01 Corrispettivi Banco Top	without_discount		263		72	0_product_variant	list_price						2024-01-31 23:00:00		percentage		47.5				
3	01 Corrispettivi Banco Top	without_discount		1332		72	0_product_variant	list_price						2024-01-31 23:00:00		percentage		47.5				
5	01 Corrispettivi Banco Top	without_discount		263		72	0_product_variant	list_price						2024-01-31 23:00:00		percentage		47.5				
5	01 Corrispettivi Banco Top	without_discount		1332		72	0_product_variant	list_price						2024-01-31 23:00:00		percentage		47.5				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	3147	2148		50	0_product_variant	list_price						2022-07-07 00:00:00		percentage		52				
3	01 Corrispettivi Banco Top	without_discount	8465	7466		50	0_product_variant	list_price						2022-12-31 23:00:00		percentage		40				
5	01 Corrispettivi Banco Top	without_discount	8465	7466		50	0_product_variant	list_price						2022-12-31 23:00:00		percentage		40				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	2570	1571		50	0_product_variant	list_price						2023-03-31 22:00:00		percentage		10				
333	LISTINO ELMAR OCTORAL	without_discount	16892	15862		48	0_product_variant	list_price						2024-03-03 08:51:12		percentage		57				
5	01 Corrispettivi Banco Top	without_discount	15952	14922		48	0_product_variant	list_price						2023-02-22 11:55:36		percentage		20				
3	01 Corrispettivi Banco Top	without_discount	15952	14922		48	0_product_variant	list_price						2023-02-22 11:51:57		percentage		20				
3	01 Corrispettivi Banco Top	without_discount	5333	4334		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		8.5				
5	01 Corrispettivi Banco Top	without_discount	5333	4334		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		8.5				
3	01 Corrispettivi Banco Top	without_discount	5332	4333		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		8.5				
5	01 Corrispettivi Banco Top	without_discount	5332	4333		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		8.5				
215	LISTINO CALA GALERA	without_discount	1262	263		48	0_product_variant	list_price						2023-03-31 22:00:00		percentage		38.64				
215	LISTINO CALA GALERA	without_discount	2666	1667		48	0_product_variant	list_price						2023-03-31 22:00:00		percentage		27.7				
215	LISTINO CALA GALERA	without_discount	2331	1332		48	0_product_variant	list_price						2023-03-31 22:00:00		percentage		39.01				
172	LISTINO DIEFFE	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
172	LISTINO DIEFFE	without_discount	11186	10153		48	0_product_variant	list_price						2022-10-04 00:00:00		percentage		9.45				
199	LISTINO CALA GALERA	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
199	LISTINO CALA GALERA	without_discount	11186	10153		48	0_product_variant	list_price						2022-10-04 00:00:00		percentage		9.45				
209	LISTINO AUTOCARR.SCARINO 923 115	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
209	LISTINO AUTOCARR.SCARINO 923 115	without_discount	11186	10153		48	0_product_variant	list_price						2022-10-04 00:00:00		percentage		9.45				
215	LISTINO CALA GALERA	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
215	LISTINO CALA GALERA	without_discount	11186	10153		48	0_product_variant	list_price						2023-10-30 23:00:00		percentage		9.45				
277	LISTINO NUOVA EUROCAR di Pazzaglia	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
277	LISTINO NUOVA EUROCAR di Pazzaglia	without_discount	11186	10153		48	0_product_variant	list_price						2024-02-29 23:00:00		percentage		19.69				
3	01 Corrispettivi Banco Top	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
3	01 Corrispettivi Banco Top	without_discount	11186	10153		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		10.24				
5	01 Corrispettivi Banco Top	without_discount	11187	10154		48	0_product_variant	list_price						2023-05-21 22:00:00		percentage		19.68				
5	01 Corrispettivi Banco Top	without_discount	11186	10153		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		10.24				
3	01 Corrispettivi Banco Top	without_discount		1571		48	0_product_variant	list_price						2022-12-31 23:00:00		percentage		5.05				
3	01 Corrispettivi Banco Top	without_discount		1332		48	0_product_variant	list_price						2024-01-31 23:00:00		percentage		44.5				
3	01 Corrispettivi Banco Top	without_discount		263		48	0_product_variant	list_price						2024-01-31 23:00:00		percentage		44.5				
5	01 Corrispettivi Banco Top	without_discount		263		48	0_product_variant	list_price						2024-01-31 23:00:00		percentage		44.5				
